5.58E+04,-2.06E+03
5.60E+04,-2.08E+03
5.64E+04,-2.09E+03
5.68E+04,-2.11E+03
5.74E+04,-2.12E+03
5.78E+04,-2.14E+03
5.84E+04,-2.15E+03
5.89E+04,-2.17E+03
5.96E+04,-2.19E+03
6.01E+04,-2.21E+03
6.06E+04,-2.22E+03
6.13E+04,-2.24E+03
6.19E+04,-2.25E+03
6.25E+04,-2.26E+03
6.31E+04,-2.27E+03
6.37E+04,-2.30E+03
6.43E+04,-2.31E+03
6.48E+04,-2.32E+03
6.55E+04,-2.34E+03
6.58E+04,-2.35E+03
6.65E+04,-2.37E+03
6.73E+04,-2.37E+03
6.81E+04,-2.39E+03
6.87E+04,-2.41E+03
6.93E+04,-2.43E+03
6.99E+04,-2.44E+03
7.07E+04,-2.45E+03
7.12E+04,-2.46E+03
7.18E+04,-2.48E+03
7.24E+04,-2.49E+03
7.30E+04,-2.50E+03
7.36E+04,-2.52E+03
7.43E+04,-2.53E+03
7.50E+04,-2.55E+03
7.57E+04,-2.56E+03
7.63E+04,-2.58E+03
7.71E+04,-2.59E+03
7.78E+04,-2.60E+03
7.82E+04,-2.61E+03
7.91E+04,-2.63E+03
7.98E+04,-2.64E+03
8.06E+04,-2.65E+03
8.12E+04,-2.66E+03
8.18E+04,-2.67E+03
8.27E+04,-2.68E+03
8.34E+04,-2.69E+03
8.41E+04,-2.71E+03
8.48E+04,-2.72E+03
8.55E+04,-2.74E+03
8.63E+04,-2.74E+03
8.66E+04,-2.76E+03
8.71E+04,-2.76E+03
8.78E+04,-2.78E+03
8.80E+04,-2.79E+03
8.85E+04,-2.79E+03
8.90E+04,-2.80E+03
8.95E+04,-2.81E+03
8.98E+04,-2.82E+03
9.02E+04,-2.82E+03
9.07E+04,-2.83E+03
9.10E+04,-2.84E+03
9.14E+04,-2.85E+03
9.20E+04,-2.86E+03
9.25E+04,-2.87E+03
9.31E+04,-2.87E+03
9.37E+04,-2.88E+03
9.43E+04,-2.89E+03
9.48E+04,-2.89E+03
9.53E+04,-2.90E+03
9.59E+04,-2.92E+03
9.65E+04,-2.92E+03
9.71E+04,-2.94E+03
9.76E+04,-2.95E+03
9.81E+04,-2.95E+03
9.89E+04,-2.96E+03
9.94E+04,-2.97E+03
1.00E+05,-2.98E+03
1.01E+05,-2.99E+03
1.02E+05,-3.00E+03
1.03E+05,-3.02E+03
1.04E+05,-3.03E+03
1.05E+05,-3.04E+03
1.06E+05,-3.06E+03
1.07E+05,-3.07E+03
1.08E+05,-3.09E+03
1.09E+05,-3.10E+03
1.10E+05,-3.11E+03
1.11E+05,-3.13E+03
1.13E+05,-3.13E+03
1.14E+05,-3.15E+03
1.15E+05,-3.16E+03
1.16E+05,-3.18E+03
1.18E+05,-3.18E+03
1.20E+05,-3.18E+03
